identifier,code_system,disease_code,preferred_name,evs_nci_code,corrected_preferred_name_for_icd9,date_last_created,date_last_updated,site_code,site_name,disease_code_site_code,evs_preferred_name,comments
1982,ICD10,C18.7,Malignant neoplasm: Sigmoid colon,C7420,,2019-11-27 16:16:29.229898,,,,,,
2672,ICD10,T80.2,"Infections following infusion, transfusion and therapeutic injection",C78255,,2019-11-27 16:16:29.229898,,,,,,
2780,ICD9,146.2,Malignant neoplasm of tonsillar pillars (anterior) (posterior) (146.2),C7398,Malignant neoplasm of tonsillar pillars (anterior) ,2019-11-27 16:16:29.229898,,,,,,
3586,SDC,10001415,Adult T-cell leukemia/lymphoma,C3184,,2019-11-27 16:17:07.189885,,,,,,
2383,ICD10,C83.30,"Diffuse large B-cell lymphoma, unspecified site",C8851,,2019-11-27 16:16:29.229898,,,,,,
3184,ICD9,203.00,Multiple myeloma without mention of having achieved remission (203.00),C3242,Multiple myeloma without mention of having achieved remission ,2019-11-27 16:17:07.189885,,,,,,
2183,ICD10,C50.812,Malignant neoplasm of overlapping sites of left female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
2136,ICD10,C47.0,"Malignant neoplasm: Peripheral nerves of head, face and neck",C4961,,2019-11-27 16:16:29.229898,,,,,,
3562,Legacy Codes - CTEP,10052747,Adenocarcinoma of the pancreas,C8294,,2019-11-27 16:17:07.189885,,,,,,
3726,SDC,10036912,Prostate intraepithelial neoplasia (PIN),C4064,,2019-11-27 16:17:07.189885,,,,,,
2125,ICD10,C44.92,"Squamous cell carcinoma of skin, unspecified",C4819,,2019-11-27 16:16:29.229898,,,,,,
3162,ICD9,202.10,"Mycosis fungoides, unspecified site, extranodal and solid organ sites (202.10)",C3246,"Mycosis fungoides, unspecified site, extranodal and solid organ sites ",2019-11-27 16:17:07.189885,,,,,,
3765,SDC,10054184,"Small intestine cancer, NOS",C7724,,2019-11-27 16:17:07.189885,,,,,,
3098,ICD9,200.08,Reticulosarcoma involving lymph nodes of multiple sites (200.08),C3211,Reticulosarcoma involving lymph nodes of multiple sites ,2019-11-27 16:17:07.189885,,,,,,
2206,ICD10,C56.2,Malignant neoplasm of left ovary,C7431,,2019-11-27 16:16:29.229898,,,,,,
5409,ICD-O-3,8680/3,"Paraganglioma, malignant",C3308,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C49.0,"Connective, subcutaneous and other soft tissues of head, face, and neck",8680/3C49.0,Paraganglioma,
2010,ICD10,C25.4,Malignant neoplasm: Endocrine pancreas,C3770,,2019-11-27 16:16:29.229898,,,,,,
2978,ICD9,180.0,Malignant neoplasm of endocervix (180.0),C3553,Malignant neoplasm of endocervix ,2019-11-27 16:17:07.189885,,,,,,
3454,Legacy Codes - CTEP,10016180,Fallopian tube carcinoma,C3867,,2019-11-27 16:17:07.189885,,,,,,
3757,SDC,10051066,Gastrointestinal stromal tumor,C3868,,2019-11-27 16:17:07.189885,,,,,,
3295,ICD9,230.4,Carcinoma in situ of rectum (230.4),C4853,Carcinoma in situ of rectum ,2019-11-27 16:17:07.189885,,,,,,
3381,ICD9,714.9,Unspecified inflammatory polyarthropathy (714.9),C26996,Unspecified inflammatory polyarthropathy ,2019-11-27 16:17:07.189885,,,,,,
2590,ICD10,D48.1,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,C3377,,2019-11-27 16:16:29.229898,,,,,,
3043,ICD9,191.7,Malignant neoplasm of brain stem (191.7),C3570,Malignant neoplasm of brain stem ,2019-11-27 16:17:07.189885,,,,,,
2103,ICD10,C44.1,"Malignant neoplasm: Skin of eyelid, including canthus",C2920,,2019-11-27 16:16:29.229898,,,,,,
2522,ICD10,D02.20,Carcinoma in situ of unspecified bronchus and lung,C27467,,2019-11-27 16:16:29.229898,,,,,,
3369,ICD9,574.60,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction (574.60)",C35332,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction ",2019-11-27 16:17:07.189885,,,,,,
2186,ICD10,C50.91,"Malignant neoplasm of breast of unspecified site, female",C9335,,2019-11-27 16:16:29.229898,,,,,,
3730,SDC,10038918,Retinoblastoma,C7541,,2019-11-27 16:17:07.189885,,,,,,
2137,ICD10,C47.8,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,C4961,,2019-11-27 16:16:29.229898,,,,,,
3553,Legacy Codes - CTEP,10046767,Uterine cancer NOS,C3552,,2019-11-27 16:17:07.189885,,,,,,
3776,SDC,10063001,AIDS-related HPV infections,C103296,,2019-11-27 16:17:07.189885,,,,,,
2684,ICD10,Z32.00,"Encounter for pregnancy test, result unknown",C92949,,2019-11-27 16:16:29.229898,,,,,,
3307,ICD9,235.2,"Neoplasm of uncertain behavior of stomach, intestines, and rectum (235.2)",C3052,"Neoplasm of uncertain behavior of stomach, intestines, and rectum ",2019-11-27 16:17:07.189885,,,,,,
2121,ICD10,C44.89,Other specified malignant neoplasm of overlapping sites of skin,C2920,,2019-11-27 16:16:29.229898,,,,,,
2689,ICD10,Z52.5,Cornea donor,C153142,,2019-11-27 16:16:29.229898,,,,,,
3121,ICD9,200.75,Large cell lymphoma involving lymph nodes of inguinal region and lower limb (200.75),C3211,Large cell lymphoma involving lymph nodes of inguinal region and lower limb ,2019-11-27 16:17:07.189885,,,,,,
3427,Legacy Codes - CTEP,10008093,High-grade astrocytoma (not specified),C9477,,2019-11-27 16:17:07.189885,,,,,,
2147,ICD10,C49.12,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",C4867,,2019-11-27 16:16:29.229898,,,,,,
2231,ICD10,C65.2,Malignant neoplasm of left renal pelvis,C7525,,2019-11-27 16:16:29.229898,,,,,,
3233,ICD9,208.0,"Leukemia of unspecified cell type, acute (208.0)",C9300,"Leukemia of unspecified cell type, acute ",2019-11-27 16:17:07.189885,,,,,,
2908,ICD9,170.7,Malignant neoplasm of long bones of lower limb (170.7),C4016,Malignant neoplasm of long bones of lower limb ,2019-11-27 16:17:07.189885,,,,,,
3452,Legacy Codes - CTEP,10015563,Ewing's sarcoma NOS,C27291,,2019-11-27 16:17:07.189885,,,,,,
2352,ICD10,C81.29,"Mixed cellularity classical Hodgkin lymphoma, extranodal and solid organ sites",C3517,,2019-11-27 16:16:29.229898,,,,,,
3127,ICD9,201.00,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites (201.00)",C26956,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites ",2019-11-27 16:17:07.189885,,,,,,
3425,Legacy Codes - CTEP,10007953,Central nervous system lymphoma,C9301,,2019-11-27 16:17:07.189885,,,,,,
1913,ICD10,C02,Malignant neoplasm of other and unspecified parts of tongue,C9345,,2019-11-27 16:16:29.229898,,,,,,
2432,ICD10,C85.82,"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",C3211,,2019-11-27 16:16:29.229898,,,,,,
3718,SDC,10035106,"Pituitary gland cancer, NOS",C4536,,2019-11-27 16:17:07.189885,,,,,,
2923,ICD9,172.1,"Malignant melanoma of skin of eyelid, including canthus (172.1)",C4358,"Malignant melanoma of skin of eyelid, including canthus ",2019-11-27 16:17:07.189885,,,,,,
3468,Legacy Codes - CTEP,10020245,Hodgkin's disease nodular sclerosis recurrent,C8837,,2019-11-27 16:17:07.189885,,,,,,
3488,Legacy Codes - CTEP,10025654,Malignant melanoma of sites other than skin,C8711,,2019-11-27 16:17:07.189885,,,,,,
2288,ICD10,C76.2,Malignant neoplasm of other and ill-defined sites: Abdomen,C156714,,2019-11-27 16:16:29.229898,,,,,,
2429,ICD10,C85.8,Other specified types of non-Hodgkin lymphoma,C3211,,2019-11-27 16:16:29.229898,,,,,,
2709,ICD10,Z85.1,"Personal history of malignant neoplasm of trachea, bronchus and lung",C18849,,2019-11-27 16:16:29.229898,,,,,,
1978,ICD10,C18.3,Malignant neoplasm: Hepatic flexure,C9242,,2019-11-27 16:16:29.229898,,,,,,
2537,ICD10,D09.3,Carcinoma in situ: Thyroid and other endocrine glands,C2917,,2019-11-27 16:16:29.229898,,,,,,
2820,ICD9,152.0,Malignant neoplasm of duodenum (152.0),C9328,Malignant neoplasm of duodenum ,2019-11-27 16:16:29.229898,,,,,,
2896,ICD9,165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs (165),C3576,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs ,2019-11-27 16:16:29.229898,,,,,,
2718,ICD10,Z85.830,Personal history of malignant neoplasm of bone,C18849,,2019-11-27 16:16:29.229898,,,,,,
2996,ICD9,184.9,"Malignant neoplasm of female genital organ, site unspecified (184.9)",C4913,"Malignant neoplasm of female genital organ, site unspecified ",2019-11-27 16:17:07.189885,,,,,,
1994,ICD10,C22.2,Malignant neoplasm: Hepatoblastoma,C3728,,2019-11-27 16:16:29.229898,,,,,,
3105,ICD9,200.23,Burkitt's tumor or lymphoma involving intra-abdominal lymph nodes (200.23),C2912,Burkitt's tumor or lymphoma involving intra-abdominal lymph nodes ,2019-11-27 16:17:07.189885,,,,,,
1953,ICD10,C13.8,Malignant neoplasm: Overlapping lesion of hypopharynx,C7190,,2019-11-27 16:16:29.229898,,,,,,
5662,ICD-O-3,8680/3,"Paraganglioma, malignant",C8559,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C80.9,Unknown primary site,8680/3C80.9,Malignant Paraganglioma,
3482,Legacy Codes - CTEP,10024312,Leukemia NOS,C3161,,2019-11-27 16:17:07.189885,,,,,,
2149,ICD10,C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",C4867,,2019-11-27 16:16:29.229898,,,,,,
2490,ICD10,C93.30,"Juvenile myelomonocytic leukemia, not having achieved remission",C9233,,2019-11-27 16:16:29.229898,,,,,,
3245,ICD9,209.11,Malignant carcinoid tumor of the appendix (209.11),C4138,Malignant carcinoid tumor of the appendix ,2019-11-27 16:17:07.189885,,,,,,
3370,ICD9,577.2,Cyst and pseudocyst of pancreas (577.2),C3304,Cyst and pseudocyst of pancreas ,2019-11-27 16:17:07.189885,,,,,,
2175,ICD10,C50.419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
3035,ICD9,191,Malignant neoplasm of brain (191),C3568,Malignant neoplasm of brain ,2019-11-27 16:17:07.189885,,,,,,
3799,SDC,10066354,Adenocarcinoma of the gastroesophageal junction,C9296,,2019-11-27 16:17:07.189885,,,,,,
3417,Legacy Codes - CTEP,10004596,Bile duct cancer recurrent,C7893,,2019-11-27 16:17:07.189885,,,,,,
3181,ICD9,202.93,Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue involving intra-abdominal lymph nodes (202.93),C9294,Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue involving intra-abdominal lymph nodes ,2019-11-27 16:17:07.189885,,,,,,
2026,ICD10,C32.2,Malignant neoplasm: Subglottis,C3546,,2019-11-27 16:16:29.229898,,,,,,
3777,SDC,10063908,"Non-Hodgkin lymphoma, aggressive, NOS",C9244,,2019-11-27 16:17:07.189885,,,,,,
1955,ICD10,C14.0,"Malignant neoplasm: Pharynx, unspecified",C7545,,2019-11-27 16:16:29.229898,,,,,,
2075,ICD10,C41.0,Malignant neoplasm: Bones of skull and face,C4016,,2019-11-27 16:16:29.229898,,,,,,
2302,ICD10,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,C8615,,2019-11-27 16:16:29.229898,,,,,,
3041,ICD9,191.5,Malignant neoplasm of ventricles (191.5),C4577,Malignant neoplasm of ventricles ,2019-11-27 16:17:07.189885,,,,,,
3426,Legacy Codes - CTEP,10007959,Central nervous system neoplasm NOS,C102871,,2019-11-27 16:17:07.189885,,,,,,
2264,ICD10,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C4627,,2019-11-27 16:16:29.229898,,,,,,
3325,ICD9,238.4,Polycythemia vera (238.4),C3336,Polycythemia vera ,2019-11-27 16:17:07.189885,,,,,,
2638,ICD10,L80,Vitiligo,C26915,,2019-11-27 16:16:29.229898,,,,,,
2743,ICD9,141,Malignant neoplasm of tongue (141),C9345,Malignant neoplasm of tongue ,2019-11-27 16:16:29.229898,,,,,,
6135,ICD-O-3,8680/3,"Paraganglioma, malignant",C4220,,2020-06-05 17:20:00.161134,2022-05-24 23:10:27.836316,C74.0,Cortex of adrenal gland,8680/3C74.0,Malignant Adrenal Gland Pheochromocytoma,
3391,ICD9,785.6,Enlargement of lymph nodes (785.6),C50764,Enlargement of lymph nodes ,2019-11-27 16:17:07.189885,,,,,,
2548,ICD10,D20.0,Benign neoplasm: Retroperitoneum,C4447,,2019-11-27 16:16:29.229898,,,,,,
3778,SDC,10064587,Desmoplastic small round cell tumor,C8300,,2019-11-27 16:17:07.189885,,,,,,
2464,ICD10,C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",C3174,,2019-11-27 16:16:29.229898,,,,,,
2567,ICD10,D3A.090,Benign carcinoid tumor of the bronchus and lung,C4038,,2019-11-27 16:16:29.229898,,,,,,
3306,ICD9,235.1,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx (235.1)",C3077,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx ",2019-11-27 16:17:07.189885,,,,,,
2704,ICD10,Z79.3,Long term (current) use of hormonal contraceptives,C92808,,2019-11-27 16:16:29.229898,,,,,,
3137,ICD9,201.5,"Hodgkin's disease, nodular sclerosis (201.5)",C3518,"Hodgkin's disease, nodular sclerosis ",2019-11-27 16:17:07.189885,,,,,,
3107,ICD9,200.3,Marginal zone lymphoma (200.3),C4341,Marginal zone lymphoma ,2019-11-27 16:17:07.189885,,,,,,
2787,ICD9,147,Malignant neoplasm of nasopharynx (147),C9321,Malignant neoplasm of nasopharynx ,2019-11-27 16:16:29.229898,,,,,,
3713,SDC,10034330,"Penile cancer, NOS",C9061,,2019-11-27 16:17:07.189885,,,,,,
2336,ICD10,C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,C7258,,2019-11-27 16:16:29.229898,,,,,,
3226,ICD9,207.0,Acute erythremia and erythroleukemia (207.0),C8923,Acute erythremia and erythroleukemia ,2019-11-27 16:17:07.189885,,,,,,
3438,Legacy Codes - CTEP,10009251,Clear cell carcinoma of the kidney,C4033,,2019-11-27 16:17:07.189885,,,,,,
3219,ICD9,206,Monocytic leukemia (206),C4861,Monocytic leukemia ,2019-11-27 16:17:07.189885,,,,,,
2701,ICD10,Z76.4,Other boarder in health-care facility,C25182,,2019-11-27 16:16:29.229898,,,,,,
2899,ICD9,165.9,Malignant neoplasm of ill-defined sites within the respiratory system (165.9),C4571,Malignant neoplasm of ill-defined sites within the respiratory system ,2019-11-27 16:16:29.229898,,,,,,
3186,ICD9,203.02,Multiple myeloma in relapse (203.02),C123908,Multiple myeloma in relapse ,2019-11-27 16:17:07.189885,,,,,,
3522,Legacy Codes - CTEP,10033701,Papillary thyroid cancer,C4035,,2019-11-27 16:17:07.189885,,,,,,
2331,ICD10,C80,"Malignant neoplasm, without specification of site",C9305,,2019-11-27 16:16:29.229898,,,,,,
2030,ICD10,C33,Malignant neoplasm of trachea,C9346,,2019-11-27 16:16:29.229898,,,,,,
2424,ICD10,C85.18,"Unspecified B-cell lymphoma, lymph nodes of multiple sites",C3457,,2019-11-27 16:16:29.229898,,,,,,
2069,ICD10,C40.21,Malignant neoplasm of long bones of right lower limb,C4016,,2019-11-27 16:16:29.229898,,,,,,
2818,ICD9,151.8,Malignant neoplasm of other specified sites of stomach (151.8),C9331,Malignant neoplasm of other specified sites of stomach ,2019-11-27 16:16:29.229898,,,,,,
2460,ICD10,C92.0,Acute myeloblastic leukaemia [AML],C3171,,2019-11-27 16:16:29.229898,,,,,,
3781,SDC,10065855,"Extranodal NK/T-cell lymphoma, nasal type",C4684,,2019-11-27 16:17:07.189885,,,,,,
2409,ICD10,C84.48,"Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites",C139005,,2019-11-27 16:16:29.229898,,,,,,
2555,ICD10,D33.3,Benign neoplasm: Cranial nerves,C2963,,2019-11-27 16:16:29.229898,,,,,,
2605,ICD10,D75,Other diseases of blood and blood-forming organs,C26323,,2019-11-27 16:16:29.229898,,,,,,
3104,ICD9,200.21,"Burkitt's tumor or lymphoma involving lymph nodes of head, face, and neck (200.21)",C2912,"Burkitt's tumor or lymphoma involving lymph nodes of head, face, and neck ",2019-11-27 16:17:07.189885,,,,,,
2728,ICD9,006.4,Amebic lung abscess (006.4),C99090,Amebic lung abscess ,2019-11-27 16:16:29.229898,,,,,,
3552,Legacy Codes - CTEP,10044412,Transitional cell carcinoma,C2930,,2019-11-27 16:17:07.189885,,,,,,
1999,ICD10,C22.9,"Malignant neoplasm: Liver, unspecified",C34803,,2019-11-27 16:16:29.229898,,,,,,
2600,ICD10,D61,Other aplastic anaemias,C2870,,2019-11-27 16:16:29.229898,,,,,,
3211,ICD9,205.20,Subacute myeloid leukemia without mention of having achieved remission (205.20),C3172,Subacute myeloid leukemia without mention of having achieved remission ,2019-11-27 16:17:07.189885,,,,,,
3470,Legacy Codes - CTEP,10020253,Hodgkin's disease nodular sclerosis stage IV,C8840,,2019-11-27 16:17:07.189885,,,,,,
2488,ICD10,C93.1,Chronic myelomonocytic leukaemia,C3178,,2019-11-27 16:16:29.229898,,,,,,
3529,Legacy Codes - CTEP,10036714,Primary mediastinal large B-cell lymphoma refractory,C8875,,2019-11-27 16:17:07.189885,,,,,,
2140,ICD10,C48.1,Malignant neoplasm: Specified parts of peritoneum,C3538,,2019-11-27 16:16:29.229898,,,,,,
2305,ICD10,C78.89,Secondary malignant neoplasm of other digestive organs,C8615,,2019-11-27 16:16:29.229898,,,,,,
1928,ICD10,C06,Malignant neoplasm of other and unspecified parts of mouth,C9314,,2019-11-27 16:16:29.229898,,,,,,
1915,ICD10,C02.1,Malignant neoplasm: Border of tongue,C9345,,2019-11-27 16:16:29.229898,,,,,,
2453,ICD10,C91.12,Chronic lymphocytic leukemia of B-cell type in relapse,C8645,,2019-11-27 16:16:29.229898,,,,,,
2558,ICD10,D35.2,Benign neoplasm: Pituitary gland,C4782,,2019-11-27 16:16:29.229898,,,,,,
3085,ICD9,198.81,Secondary malignant neoplasm of breast (198.81),C7511,Secondary malignant neoplasm of breast ,2019-11-27 16:17:07.189885,,,,,,
2172,ICD10,C50.4,Malignant neoplasm: Upper-outer quadrant of breast,C9335,,2019-11-27 16:16:29.229898,,,,,,
3332,ICD9,238.75,"Myelodysplastic syndrome, unspecified (238.75)",C3247,"Myelodysplastic syndrome, unspecified ",2019-11-27 16:17:07.189885,,,,,,
6850,ICD-O-3,8245/3,Adenocarcinoid tumor,C4139,,2022-05-24 23:11:42.495990,,C18.0,Cecum,8245/3C18.0,Combined Carcinoid and Adenocarcinoma,CCCT Internal Mapping
6851,ICD-O-3,8245/3,Adenocarcinoid tumor,C4139,,2022-05-24 23:11:42.495990,,C54.0,Isthmus uteri,8245/3C54.0,Combined Carcinoid and Adenocarcinoma,CCCT Internal Mapping
2993,ICD9,184.0,Malignant neoplasm of vagina (184.0),C7410,Malignant neoplasm of vagina ,2019-11-27 16:17:07.189885,,,,,,
2969,ICD9,175.9,Malignant neoplasm of other and unspecified sites of male breast (175.9),C9335,Malignant neoplasm of other and unspecified sites of male breast ,2019-11-27 16:17:07.189885,,,,,,
3471,Legacy Codes - CTEP,10020255,Hodgkin's disease NOS,C9357,,2019-11-27 16:17:07.189885,,,,,,
2261,ICD10,C71.7,Malignant neoplasm: Brain stem,C3570,,2019-11-27 16:16:29.229898,,,,,,
1931,ICD10,C06.8,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth,C9314,,2019-11-27 16:16:29.229898,,,,,,
2452,ICD10,C91.11,Chronic lymphocytic leukemia of B-cell type in remission,C3587,,2019-11-27 16:16:29.229898,,,,,,
6852,ICD-O-3,9698/3,"Follicular lymphoma, grade 3",C8851,,2022-05-24 23:11:42.495990,,C48.2,"Peritoneum, NOS",9698/3C48.2,Diffuse Large B-Cell Lymphoma,CCCT Internal Mapping
2629,ICD10,K43.3,"Parastomal hernia with obstruction, without gangrene",C35641,,2019-11-27 16:16:29.229898,,,,,,
3440,Legacy Codes - CTEP,10009951,Colon cancer NOS,C4349,,2019-11-27 16:17:07.189885,,,,,,
2970,ICD9,176,Kaposi's sarcoma (176),C9087,Kaposi's sarcoma ,2019-11-27 16:17:07.189885,,,,,,
3029,ICD9,190.1,Malignant neoplasm of orbit (190.1),C3562,Malignant neoplasm of orbit ,2019-11-27 16:17:07.189885,,,,,,
2373,ICD10,C82.9,"Follicular lymphoma, unspecified",C3209,,2019-11-27 16:16:29.229898,,,,,,
3199,ICD9,204.80,Other lymphoid leukemia without mention of having achieved remission (204.80),C7539,Other lymphoid leukemia without mention of having achieved remission ,2019-11-27 16:17:07.189885,,,,,,
3327,ICD9,238.7,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues (238.7),C27134,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues ,2019-11-27 16:17:07.189885,,,,,,
3077,ICD9,197.7,"Malignant neoplasm of liver, specified as secondary (197.7)",C4758,"Malignant neoplasm of liver, specified as secondary ",2019-11-27 16:17:07.189885,,,,,,
2223,ICD10,C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",C7251,,2019-11-27 16:16:29.229898,,,,,,
